NCIH441,7,86.1,LUNG,Medium1,12
NCIH446,5,71.4,LUNG,Medium1,10
NCIH460,2,65.2,LUNG,Medium1,3
NCIH460DNP53,3,54.4,LUNG,Medium1,6
NCIH510,7,1675000,LUNG,Other,14
NCIH520,2,63.5,LUNG,Medium1,3
NCIH522,2,53.6,LUNG,Medium1,3
NCIH526,6,1435000,LUNG,Medium1,9
NCIH596,2,73.3,LUNG,Medium1,3
NCIH647,2,69.9,LUNG,Medium1,4
NCIH661,3,69.6,LUNG,Medium1,6
NCIH727,5,68.7,LUNG,Medium1,7
NCIH810,4,57.2,LUNG,Medium4,8
NCIH82,6,868000,LUNG,Medium1,9
NCIH838,2,69.8,LUNG,Medium1,4
OVCAR3,6,49.8,OVARY,Medium1,11
OVCAR4,2,63.8,OVARY,Medium1,4
OVCAR5,5,50.6,OVARY,Medium1,7
OVCAR8,6,41.25,OVARY,Medium1,9
PANC0327,3,57.9,PANCREAS,Other,5
PANC0403,3,58.1,PANCREAS,Other,6
PANC0813,4,46.6,PANCREAS,Other,8
PANC1,3,57.5,PANCREAS,Medium2,13
PC14PE6,5,75,LUNG,Medium2,10
PC3,2,72.8,PROSTATE,Medium1,4
PC9,5,66.1,LUNG,Medium1,10
RERFLCA1,3,38.9,LUNG,Medium2,5
RERFLCSQ1,2,48.1,LUNG,Medium1,4
RPMI8826,6,64,BLOOD,Medium1,11
RT4,4,51.3,BLADDER,Other,8
RXF393,7,61.5,KIDNEY,Medium1,13
SBC5,5,58.7,LUNG,Medium2,10
SCABER,3,56,BLADDER,Medium1,6
SF268,6,43.2,CNS,Medium1,9
SF295,7,63.5,CNS,Medium1,12
SF539,6,42,CNS,Medium1,9
SHP77,5,31,LUNG,Medium1,10
SKLU1,3,49.3,LUNG,Medium5,5
SKMEL2,7,71.2,SKIN,Other,13
SKMEL5,3,54.8,SKIN,Medium5,6
SKMES1,7,55.4,LUNG,Medium2,12
SKOV3,4,51.4,OVARY,Other,8
SN12C,7,54,KIDNEY,Medium1,12
SNB75,7,76.6,CNS,Medium1,11
SR8714,6,2332500,BLOOD,Medium1,11
SU8686,3,41.9,PANCREAS,Medium1,6
SUM149PT,7,52.2,BREAST,Other,11
SW156,4,78.4,KIDNEY,Other,7
SW1573,4,46.5,LUNG,Other,8
SW620,5,61,COLON,Medium1,7
SW780,4,36.7,BLADDER,Other,7
SW900,2,53.3,LUNG,Medium1,4
T24,3,53.5,BLADDER,Medium1,5
T47D,2,67,BREAST,Medium2,3
UACC257,7,61.9,SKIN,Medium1,13
UACC62,7,53.6,SKIN,Medium1,12
UMC11,7,56.3,LUNG,Medium1,13
UMUC3,1,75.4,BLADDER,Medium1,2
UO31,7,40.8,KIDNEY,Medium1,9
VMCUB1,2,74.8,BLADDER,Medium2,3
