Name,Class,C:DB,Formula,HS578T_NoLab_1_1.raw(F36),HS578T_NoLab_1_2.raw(F37),HS578T_NoLab_2_1.raw(F39),HS578T_NoLab_2_2.raw(F40),HS578T_NoLab_3_1.raw(F41),HS578T_NoLab_3_2.raw(F42),OVCAR5_NoLab_1_1.raw(F138),OVCAR5_NoLab_1_2.raw(F139),OVCAR5_NoLab_2_1.raw(F141),OVCAR5_NoLab_2_2.raw(F142),OVCAR5_NoLab_3_1.raw(F143),OVCAR5_NoLab_3_2.raw(F144),SF539_NoLab_1_1.raw(F159),SF539_NoLab_1_2.raw(F160),SF539_NoLab_2_1.raw(F162),SF539_NoLab_2_2.raw(F163),SF539_NoLab_3_1.raw(F164),SF539_NoLab_3_2.raw(F165),SKMEL5_NoLab_1_1.raw(F180),SKMEL5_NoLab_1_2.raw(F181),SKMEL5_NoLab_2_1.raw(F183),SKMEL5_NoLab_2_2.raw(F184),SKMEL5_NoLab_3_1.raw(F185),SKMEL5_NoLab_3_2.raw(F186),HCT15_NoLab_1_1.raw(F15),HCT15_NoLab_1_2.raw(F16),HCT15_NoLab_2_1.raw(F18),HCT15_NoLab_2_2.raw(F19),HCT15_NoLab_3_1.raw(F20),HCT15_NoLab_3_2.raw(F21),NCIH460_NoLab_1_1.raw(F96),NCIH460_NoLab_1_2.raw(F97),NCIH460_NoLab_2_1.raw(F99),NCIH460_NoLab_2_2.raw(F100),NCIH460_NoLab_3_1.raw(F101),NCIH460_NoLab_3_2.raw(F102),OVCAR3_NoLab_1_1.raw(F117),OVCAR3_NoLab_1_2.raw(F118),OVCAR3_NoLab_2_1.raw(F120),OVCAR3_NoLab_2_2.raw(F121),OVCAR3_NoLab_3_1.raw(F122),OVCAR3_NoLab_3_2.raw(F123),SW620_NoLab_1_1.raw(F201),SW620_NoLab_1_2.raw(F202),SW620_NoLab_2_1.raw(F204),SW620_NoLab_2_2.raw(F205),SW620_NoLab_3_1.raw(F206),SW620_NoLab_3_2.raw(F207),T47D_NoLab_1_1.raw(F222),T47D_NoLab_1_2.raw(F223),T47D_NoLab_2_1.raw(F225),T47D_NoLab_2_2.raw(F226),T47D_NoLab_3_1.raw(F227),T47D_NoLab_3_2.raw(F228)
HexCer-NS d42:3; HexCer-NS d18:1/24:2; [M+H]+,HexCer , d42:3,C48 H89 N O8,10.18680563,10.47726597,8.82268905,8.739189228,9.185067438,8.851887421,5.976556991,4.996562603,5.84304783,5.32227133,5.400268431,6.399551423,14.54542247,14.8501102,14.96820718,13.7663651,13.8174046,14.57893234,72.03144876,71.22204204,52.78493204,78.92803375,81.03017034,82.80802312,0.631743134,0.642315396,0.710600873,0.739875943,0.781225402,0.7444286,3.241290237,3.128031388,3.276196613,3.280517304,3.582876811,3.649220268,29.89315541,32.08342999,28.96722051,30.19309327,27.55243872,25.86455961,12.13531252,10.50233396,15.79700443,15.61964001,17.29776238,16.30505657,1.986527354,2.018108761,1.909497632,1.998146637,2.124044876,2.245167317
LPC 16:0; [M+H]+,LPC , 16:0,C24 H50 N O7 P,146.6253742,149.335817,135.9052662,140.257462,133.1157492,134.4925685,18.83386222,19.26233502,17.760266,17.60561653,18.21676219,17.65764985,59.8049429,58.58751169,52.32351886,50.48791773,52.82909039,52.48693206,47.31905474,49.4182635,48.17610012,46.91859826,42.13307726,43.7089256,0.681594028,0.68501811,0.746777632,0.743603324,0.812904428,0.831617265,5.116096832,5.223879492,4.699087734,4.755506051,4.686871756,4.529712793,132.2509881,134.6880729,128.8339331,125.2573534,124.1707354,123.4938442,17.36399686,16.45904439,14.95371526,15.31166728,18.2696971,18.37353017,7.032079402,7.186391222,8.802501615,8.684540654,8.424189348,8.240704567
LPC 18:0; [M+H]+,LPC , 18:0,C26 H54 N O7 P,149.8816329,144.9655349,142.4077903,140.9105847,141.6136797,145.3561641,19.15674255,19.51155497,18.0891807,17.77882114,17.31196278,17.6101318,57.97024903,61.3643945,49.68306,48.66801983,49.47880569,52.28234343,12.04279008,12.48545898,12.47920318,12.13277905,12.07559198,12.14925604,0.550202341,0.561787424,0.639214664,0.668113265,0.656408337,0.646989069,2.52027984,2.520336645,2.074574358,2.223378466,2.193214127,2.044888235,117.3253876,124.5857685,116.6953709,114.9397488,113.250804,114.8313071,8.549200564,8.747932828,7.923517344,7.993728406,10.08371295,10.29609791,6.189833436,5.795250186,7.977127011,7.771290281,7.981129257,7.529381171
LPC 18:1; [M+H]+,LPC , 18:1,C26 H52 N O7 P,47.92774291,47.94201769,41.10085028,43.7060519,36.83134656,36.71183095,11.77592053,10.99174436,10.83397694,10.27616188,10.01880634,9.776804109,14.22335047,15.06250744,13.786507,13.07635645,13.06352442,12.74310845,14.85649196,13.96329349,16.85248409,17.28281454,13.20096201,13.65351754,0.335919673,0.311813222,0.353232644,0.373073505,0.371822405,0.373479483,4.42394567,4.207397957,3.547456324,3.464167336,3.502536062,2.697733871,35.53515611,35.75376978,33.19152382,31.78655094,34.88438522,34.07790957,6.142625226,6.48590476,5.118830741,5.415420973,6.811869701,6.974341955,1.545112788,1.675583393,1.532089213,1.679546551,1.588472974,1.58378117
LPC 26:0; [M+H]+,LPC , 26:0,C34 H70 N O7 P,7.813359762,7.720919232,7.997850693,7.932399062,7.320474734,7.732539692,5.258387867,5.5227606,5.257660415,5.033300316,4.719717428,4.733794372,7.435103593,7.40579848,7.386765968,7.439898667,7.014309721,6.920932555,2.056956792,1.913898867,1.960246827,1.865918137,1.951819271,2.009357839,1.616546242,1.586211272,1.508714458,1.685168608,1.614923552,1.594048435,1.661055927,1.674336711,1.715683248,1.6420831,1.701434339,1.555647773,6.5323873,7.065917002,7.068881689,7.061061354,6.266283263,6.161835496,1.465800633,1.462486565,1.434496893,1.288307875,1.628577087,1.570718886,2.935223884,2.990878294,3.003996833,2.975624895,2.817510174,2.689485157
LPE 16:0; [M+H]+,LPE , 16:0,C21 H44 N O7 P,4.303101638,4.995781,2.773361216,3.342794445,2.756349941,3.048588029,0.871621945,0.757638591,0.665388721,1.055656191,0.807054191,0.797418686,2.56751487,2.391410412,2.426181321,2.303431349,2.127145876,2.101714955,12.83200594,14.04136555,13.38369218,13.40112124,12.10348843,11.18859618,0.135944671,0.099726066,0.128820292,0.132153543,0.119388045,0.117813243,1.519425562,1.399623432,1.429406118,1.392291723,1.338424536,1.438357899,5.379782665,5.273215218,5.470377508,5.164178607,6.468946187,6.472033731,2.177342588,2.348467619,1.934445744,2.029946049,2.294557976,2.161059586,0.566782735,0.5201618,0.551133259,0.54225013,0.599124881,0.618628754
LPE 16:1; [M+H]+,LPE , 16:1,C21 H42 N O7 P,11.75121163,12.88233126,10.35568455,11.68583006,11.06791123,11.64702425,3.940931636,3.598296664,2.145719052,2.392954157,1.781731006,1.704029917,9.531190306,9.465526971,8.69582663,9.7785691,6.831164404,7.10991357,28.3513655,23.73558112,11.70948746,11.1062408,29.24338413,20.46598961,0.115057109,0.111486321,0.102641392,0.134175511,0.101337307,0.14299777,4.56285075,3.95078713,2.902379307,2.90070568,1.402849187,1.44973534,9.582896451,10.40181861,12.48620852,12.16295971,11.3081653,11.2612958,3.806739372,4.774580662,3.176933399,3.171151619,4.208591216,2.603973729,0.056003004,0.047720662,0.025647824,0.0427127,0.044768667,0.030855217
LPE 16:1; [M+H]+,LPE , 16:1,C21 H42 N O7 P,0.56895472,0.506557891,0.599506153,0.467775907,0.394987238,0.35337935,0.218014047,0.185668228,0.258179027,0.397410212,0.181964388,0.233130938,0.581084988,0.652440645,0.494828454,0.685796086,0.710790591,1.394104695,1.706090304,0.824026818,18.3061412,18.24187555,1.061033825,6.812268749,0.022546873,0.01800846,0.022354704,0.013246288,0.031610376,0.014445283,0.120581192,0.504317681,0.265732149,0.281460129,0.43526313,0.411558718,3.620676394,2.997452037,4.078144653,2.800880161,3.387341115,3.943965806,1.065863236,0.310921945,0.862451872,1.089816882,1.959626855,1.502331582,0.038867877,0.027436671,0.035666521,0.037957684,0.039262765,0.041869771
LPE 18:1; [M+H]+,LPE , 18:1,C23 H46 N O7 P,3.137833005,3.588011833,3.4291421,3.355675103,3.83208103,3.909158618,6.877624339,7.160300445,6.558548789,6.760067134,6.886572274,6.617039252,2.20182665,2.164828665,2.367013343,2.449536808,3.18480142,2.967756855,11.06304987,12.14079274,7.647080627,7.151987836,11.16250704,10.53972247,0.123682326,0.130834773,0.108895446,0.109455647,0.203508519,0.196829736,4.307366313,4.470927248,3.854783431,3.731239694,3.780548599,3.659719646,6.015567283,6.085662734,5.885965995,6.034231726,5.70013617,5.518668445,2.960993577,3.040568625,2.75771416,2.824520285,3.098993038,2.872898324,0.056917888,0.046812003,0.055980571,0.060317472,0.066696655,0.061376874
PC 28:0; PC 14:0-14:0; [M+H]+,PC , 28:0,C36 H72 N O8 P,88.59282437,82.97353586,76.17100396,79.69104892,69.62348487,73.60697966,25.68474091,23.87199082,23.20886403,23.30325278,21.86362221,21.66489977,72.86033871,72.63029589,73.5234355,66.66604589,83.86322627,78.02054989,497.3182912,461.753817,414.2105053,436.2888364,439.2025213,450.7589563,1.824728327,1.798859977,2.229268479,2.196972702,2.283740527,2.350900294,48.77930775,49.05343811,46.54728493,50.12174606,50.12755247,48.06612527,223.9836011,234.1123215,218.8824401,205.1062885,199.9684225,211.9440766,155.4241558,149.2286973,132.1659181,126.509388,135.6130358,137.0272752,20.50884039,20.44631851,19.90704034,19.06707536,23.06582166,22.82936523
